ssn,project_id,hours
123456789,1,32.5
123456789,2,7.5
666884444,3,40.0
453453453,1,20.0
453453453,2,20.0
333445555,2,10.0
333445555,3,10.0
333445555,10,10.0
333445555,20,10.0
999887777,30,30.0
999887777,10,10.0
987987987,10,35.0
987987987,30,5.0
987654321,30,20.0
987654321,20,15.0
888665555,20,16.0
111223333,1,15.0
111223333,60,25.0
222334444,40,30.0
222334444,50,10.0
444556666,2,20.0
444556666,60,20.0
555667777,10,25.0
555667777,40,15.0
777889999,70,35.0
777889999,20,5.0
888990000,3,20.0
888990000,50,20.0
111334455,40,25.0
111334455,90,15.0
222445566,70,20.0
222445566,80,20.0
333556677,50,15.0
333556677,90,25.0
444667788,70,10.0
444667788,80,30.0
555778899,1,10.0
555778899,60,30.0
666889900,20,10.0
666889900,90,5.0
