ssn,dependent_name,gender,birth_date,relationship
333445555,Alice,F,1986-04-04,Daughter
333445555,Theodore,M,1983-10-25,Son
333445555,Joy,F,1958-05-03,Spouse
987654321,Abner,M,1942-02-28,Spouse
123456789,Michael,M,1988-01-04,Son
123456789,Alice,F,1988-12-30,Daughter
123456789,Elizabeth,F,1967-05-05,Spouse
111223333,Sofia,F,2005-07-12,Daughter
111223333,Pedro,M,1974-01-20,Spouse
222334444,Emily,F,2010-03-18,Daughter
444556666,James,M,2008-11-05,Son
777889999,Raj,M,1975-09-30,Spouse
111334455,Oliver,M,2012-06-15,Son
555778899,Anna,F,2015-03-22,Daughter
555778899,Dmitri,M,1984-07-10,Spouse
666889900,Jasmine,F,2000-09-18,Daughter
100033334,Patricia,F,1969-04-28,Spouse
100033334,Leo,M,2011-02-26,Son
100033334,Abigail,F,2017-02-15,Daughter
100077778,Sarah,F,1995-06-20,Spouse
100077778,Caleb,M,2009-11-14,Son
100088889,William,M,1979-08-04,Spouse
100100000,Ruth,F,1989-06-22,Spouse
100100000,Lucas,M,2013-11-04,Son
100100000,Sebastian,M,2008-01-23,Son
100100000,Riley,F,2014-04-28,Daughter
100111111,Jack,M,2001-07-09,Son
100111111,Mia,F,2014-02-22,Daughter
100122222,Sarah,F,1963-06-08,Spouse
100122222,Logan,M,2002-09-07,Son
100166666,Mason,M,2003-11-28,Son
100177777,Gary,M,1975-10-11,Spouse
100188888,Christine,F,1986-09-04,Spouse
100233332,Stephanie,F,1962-12-26,Spouse
100233332,Emma,F,2001-08-28,Daughter
100233332,Mia,F,2015-12-15,Daughter
100244443,Brian,M,1969-02-05,Spouse
100244443,Max,M,2017-12-11,Son
100244443,Lily,F,2009-08-17,Daughter
100266665,Evelyn,F,2013-06-27,Daughter
100288887,Paul,M,1980-11-09,Spouse
100288887,Ryan,M,2002-02-27,Son
100288887,Victoria,F,2003-12-24,Daughter
100299998,Linda,F,1995-09-11,Spouse
100311109,Noah,M,2009-10-10,Son
100311109,Chloe,F,2016-04-05,Daughter
100311109,Alexander,M,2003-06-28,Son
100333331,Daniel,M,1987-09-25,Spouse
100377775,Ryan,M,1979-06-12,Spouse
100388886,Cynthia,F,1985-02-05,Spouse
100399997,Steven,M,1986-08-11,Spouse
100399997,Avery,F,2018-10-03,Daughter
100444441,Joshua,M,1988-07-09,Spouse
100444441,Elijah,M,2011-07-04,Son
100455552,Laura,F,1993-11-10,Spouse
100477774,Betty,F,1968-05-10,Spouse
100477774,Aria,F,2013-03-05,Daughter
100477774,Evelyn,F,2016-09-27,Daughter
100499996,Christine,F,1962-07-01,Spouse
100499996,Aiden,M,2018-07-19,Son
100499996,Victoria,F,2009-02-13,Daughter
100499996,Avery,F,2005-10-15,Daughter
100533329,Grace,F,2016-02-13,Daughter
100588884,Pamela,F,1982-06-24,Spouse
100588884,Charlotte,F,2008-04-06,Daughter
100633328,Chloe,F,2018-08-22,Daughter
100633328,Max,M,2020-11-20,Son
100633328,Avery,F,2004-08-03,Daughter
100688883,Andrew,M,1988-01-02,Spouse
100688883,Oliver,M,2020-02-20,Son
100688883,Owen,M,2014-10-18,Son
100722216,Aria,F,2016-03-02,Daughter
100777771,William,M,1975-12-15,Spouse
100777771,Mason,M,2011-06-10,Son
100777771,Avery,F,2019-01-26,Daughter
100777771,Aiden,M,2002-06-04,Son
100799993,Eric,M,1969-06-03,Spouse
100799993,Jacob,M,2020-12-22,Son
100811104,Patricia,F,1979-09-13,Spouse
100811104,Nathan,M,2002-11-22,Son
100811104,Scarlett,F,2000-06-10,Daughter
100822215,Ryan,M,1991-04-08,Spouse
100822215,Ella,F,2003-09-25,Daughter
