ssn,project_id,hours
123456789,1,32.5
123456789,2,7.5
666884444,3,40.0
453453453,1,20.0
453453453,2,20.0
333445555,2,10.0
333445555,3,10.0
333445555,10,10.0
333445555,20,10.0
999887777,30,30.0
999887777,10,10.0
987987987,10,35.0
987987987,30,5.0
987654321,30,20.0
987654321,20,15.0
888665555,20,16.0
111223333,1,15.0
111223333,60,25.0
222334444,40,30.0
222334444,50,10.0
444556666,2,20.0
444556666,60,20.0
555667777,10,25.0
555667777,40,15.0
777889999,70,35.0
777889999,20,5.0
888990000,3,20.0
888990000,50,20.0
111334455,40,25.0
111334455,90,15.0
222445566,70,20.0
222445566,80,20.0
333556677,50,15.0
333556677,90,25.0
444667788,70,10.0
444667788,80,30.0
555778899,1,10.0
555778899,60,30.0
666889900,20,10.0
666889900,90,5.0
100000001,50,18.2
100000001,10,24.6
100011112,30,35.2
100011112,80,37.6
100011112,40,39.4
100011112,3,26.0
100022223,70,29.3
100022223,90,14.1
100022223,1,23.9
100022223,2,11.5
100033334,30,20.1
100033334,10,36.4
100033334,50,18.3
100033334,90,38.5
100044445,20,32.5
100044445,2,11.6
100044445,50,38.6
100044445,1,16.7
100055556,80,11.2
100066667,10,16.0
100077778,70,14.6
100088889,50,13.4
100088889,80,38.4
100100000,90,28.2
100100000,20,38.9
100100000,30,31.6
100100000,3,33.3
100111111,20,27.4
100111111,2,37.9
100122222,40,13.1
100122222,10,33.2
100122222,2,35.5
100122222,80,28.0
100133333,70,33.5
100144444,60,12.1
100144444,40,29.4
100144444,30,10.4
100155555,50,29.1
100155555,2,34.9
100155555,40,31.2
100155555,30,23.1
100166666,70,23.9
100166666,60,34.8
100166666,50,27.8
100177777,10,36.4
100177777,2,17.3
100177777,20,23.9
100188888,30,15.5
100188888,1,16.4
100188888,50,33.9
100188888,90,20.2
100199999,60,38.4
100199999,1,12.6
100199999,90,31.6
100211110,60,23.4
100211110,10,10.5
100211110,50,18.8
100211110,70,22.1
100222221,20,27.4
100222221,80,24.2
100233332,40,20.6
100233332,60,23.6
100233332,30,19.2
100244443,2,19.5
100244443,10,32.3
100255554,10,32.2
100255554,90,18.3
100266665,2,16.8
100266665,10,15.4
100266665,20,10.4
100277776,20,39.2
100277776,1,26.6
100288887,80,13.1
100288887,50,10.4
100299998,50,20.2
100299998,90,39.0
100299998,80,17.6
100311109,2,12.2
100311109,90,28.9
100311109,40,11.6
100311109,50,14.5
100322220,2,26.7
100322220,10,22.5
100322220,90,27.9
100333331,60,23.5
100333331,40,23.3
100344442,20,28.3
100344442,70,32.2
100344442,80,38.4
100344442,1,16.2
100355553,20,12.4
100355553,80,17.2
100366664,3,10.1
100377775,90,11.0
100377775,70,18.6
100377775,50,18.5
100377775,20,35.8
100388886,80,17.0
100399997,80,22.8
100399997,70,26.3
100399997,10,29.4
100411108,3,15.0
100411108,2,19.2
100411108,1,32.5
100422219,50,30.7
100422219,2,31.0
100422219,90,38.3
100433330,50,36.7
100433330,2,32.0
100433330,70,28.1
100433330,1,10.8
100444441,80,27.6
100444441,70,10.6
100455552,70,24.1
100455552,1,29.5
100455552,3,37.5
100466663,70,29.0
100466663,40,24.8
100477774,50,20.4
100488885,30,35.7
100488885,80,19.9
100488885,2,30.8
100499996,80,11.1
100499996,40,12.6
100499996,60,17.6
100511107,40,35.9
100522218,80,36.1
100533329,40,20.9
100533329,1,32.7
100533329,10,28.8
100533329,60,32.8
100544440,20,13.9
100544440,60,18.6
100555551,2,31.3
100555551,1,19.3
100555551,70,10.4
100555551,10,22.2
100566662,2,38.4
100566662,50,29.4
100577773,50,25.3
100577773,20,18.2
100588884,50,14.3
100588884,10,15.7
100588884,90,28.0
100588884,60,32.4
100599995,2,33.2
100599995,20,35.6
100611106,60,18.5
100611106,20,19.0
100611106,1,27.6
100622217,3,20.4
100622217,50,26.6
100622217,60,26.3
100622217,80,23.7
100633328,10,21.5
100633328,90,35.7
100633328,70,22.3
100644439,90,21.6
100644439,50,29.9
100644439,40,34.6
100655550,50,13.8
100655550,1,39.0
100666661,2,25.8
100666661,50,23.7
100666661,90,31.7
100677772,80,33.4
100677772,3,18.0
100677772,2,28.7
100677772,50,21.9
100688883,30,35.6
100699994,30,11.1
100699994,80,12.1
100699994,50,28.9
100699994,60,37.6
100711105,90,23.0
100711105,2,13.0
100722216,50,15.0
100733327,1,33.9
100733327,90,18.8
100733327,30,21.2
100744438,10,22.4
100744438,60,30.5
100755549,3,12.4
100755549,90,36.1
100766660,50,14.3
100766660,70,23.8
100777771,50,37.0
100777771,20,24.0
100777771,1,18.6
100788882,2,38.4
100788882,50,39.6
100799993,80,23.7
100799993,40,19.1
100799993,20,40.0
100811104,2,27.2
100811104,10,39.8
100811104,40,18.9
100811104,30,39.3
100822215,20,37.3
100822215,1,32.4
100822215,70,35.0
100822215,80,37.1
100833326,70,16.6
100833326,30,15.7
100844437,80,28.8
100844437,90,37.1
100844437,3,29.4
100855548,50,20.9
100855548,1,13.9
100855548,70,37.3
100866659,90,16.0
100866659,40,33.6
100866659,3,36.3
100877770,60,34.9
100877770,90,17.7
100877770,20,34.7
