emp_id,emp_name,department,gender,hire_date,degree,salary
100,Alex,BUSINESS,MALE,02/10/2024,PHD,220000
200,Fred,BUSINESS,MALE,03/11/2024,MIS,170000
300,Barb,BUSINESS,FEMALE,02/03/2024,BS,200000
400,Rafa,SPORTS,MALE,03/11/2023,MS,270000
500,Novak,SPORTS,MALE,01/11/2023,MS,250000
600,Betty,SPORTS,FEMALE,01/11/2023,MS,210000
700,Dara,SOFTWARE,MALE,03/11/2023,MS,220000
800,David,SOFTWARE,MALE,01/11/2023,MS,200000
900,Max,SOFTWARE,MALE,01/11/2023,PHD,290000
950,Jenny,SOFTWARE,FEMALE,01/11/2023,MS,180000
