emp_id,emp_name,department,salary,gender,degree,hire_date,country,image_url,age
1001,Deborah Cruz,IT,192000,FEMALE,PHD,2015-09-28,CHINA,https://api.dicebear.com/7.x/avataaars/svg?seed=b4b4693f,59
1002,Jack Davis,MARKETING,105000,MALE,BS,2015-05-23,CHINA,https://api.dicebear.com/7.x/avataaars/svg?seed=d347e818,26
1003,Keith Phillips,IT,152000,MALE,BS,2015-01-06,ITALY,https://api.dicebear.com/7.x/avataaars/svg?seed=34065df5,58
1004,Timothy Sanchez,SALES,136000,MALE,MIS,2015-08-02,USA,https://api.dicebear.com/7.x/avataaars/svg?seed=4289e046,26
1005,Janet Price,IT,116000,FEMALE,BA,2015-08-17,CHINA,https://api.dicebear.com/7.x/avataaars/svg?seed=2a9e3c07,45
1006,Diane Brooks,SALES,84000,FEMALE,BA,2015-06-16,USA,https://api.dicebear.com/7.x/avataaars/svg?seed=73b50477,37
1007,Albert Edwards,IT,145000,MALE,BS,2015-09-12,CHINA,https://api.dicebear.com/7.x/avataaars/svg?seed=5f257f1c,59
1008,Rachel Lee,AI,228000,FEMALE,PHD,2015-05-01,USA,https://api.dicebear.com/7.x/avataaars/svg?seed=2e41be23,33
1009,Heather Miller,IT,183000,FEMALE,MS,2015-04-21,USA,https://api.dicebear.com/7.x/avataaars/svg?seed=c151a848,38
1010,Jeffrey Gray,IT,119000,MALE,BS,2015-09-01,USA,https://api.dicebear.com/7.x/avataaars/svg?seed=2e2caac0,48
1011,Luis Foster,SALES,170000,MALE,MS,2015-11-06,USA,https://api.dicebear.com/7.x/avataaars/svg?seed=6033a408,33
1012,Albert Johnson,IT,142000,MALE,MS,2015-05-23,CHINA,https://api.dicebear.com/7.x/avataaars/svg?seed=64562765,63
1013,Alan Chavez,AI,159000,MALE,MIS,2015-06-15,CHINA,https://api.dicebear.com/7.x/avataaars/svg?seed=e5bcd474,48
1014,Angela Ramirez,BUSINESS,119000,FEMALE,BA,2015-10-13,CANADA,https://api.dicebear.com/7.x/avataaars/svg?seed=65ac4eac,55
1015,Frances Wilson,SALES,128000,FEMALE,BA,2015-11-20,ITALY,https://api.dicebear.com/7.x/avataaars/svg?seed=af290a55,57
