emp_id,emp_name,salary,dept_id,country_code,gender,education,dob,hire_date
E0001,Pradeep Schneider,86500,TOP-SECRET,CHN,MALE,BS,1960-02-20,2021-05-07
E0002,Elizabeth Perez,79000,TOP-SECRET,AUS,FEMALE,BS,1980-07-26,2015-02-24
E0003,Anita Hayes,79500,TOP-SECRET,CAN,FEMALE,BA,1982-05-28,2009-12-22
E0004,Claire Martin,103000,TOP-SECRET,USA,UNKNOWN,MS,1981-08-15,2015-07-03
E0005,Richard Ward,125000,TOP-SECRET,GBR,MALE,MS,1994-01-26,2005-12-15
E0006,Rene Martin,97000,TOP-SECRET,IND,MALE,BA,1974-02-04,2023-03-13
E0007,Xavier Chavez,76500,TOP-SECRET,CHN,MALE,BA,1976-03-26,2018-06-27
E0008,Pradeep Mitchell,111000,TOP-SECRET,IND,MALE,MS,1989-11-09,2012-03-23
E0009,Gloria Gonzalez,109500,TOP-SECRET,IND,FEMALE,BS,1992-04-28,2012-06-14
E0010,Eric Fisher,75000,TOP-SECRET,CHN,UNKNOWN,MS,1990-03-05,2019-07-22
E0011,Alain Joshi,63000,D005,CHN,MALE,BS,1970-01-21,2024-07-26
E0012,Freya Zhang,97500,D005,BRA,FEMALE,MS,1981-01-11,2002-12-14
E0013,Anna Khan,115000,D005,USA,UNKNOWN,BS,1992-03-27,2003-12-29
E0014,Brenda Moore,136000,D005,IND,FEMALE,MS,1985-01-24,2015-09-30
E0015,Dorothy Diaz,120500,D005,IND,FEMALE,MSIS,1992-03-18,2021-07-08
E0016,Cheryl Luo,172500,D004,IND,FEMALE,MSIS,1975-11-20,2012-07-03
E0017,Brittany Pillai,152500,D001,USA,FEMALE,MS,1970-06-05,2019-05-02
E0018,Julie Evans,72000,D004,CHN,UNKNOWN,BS,1968-08-27,2001-04-15
E0019,Roger Shah,97500,D002,DEU,MALE,BS,1967-08-28,2008-02-17
E0020,Kenta O'Neill,158500,D002,USA,UNKNOWN,MS,1992-10-25,2008-09-10
E0021,Mateus Luo,116500,D004,JPN,MALE,MS,1998-09-25,2005-01-22
E0022,Pamela Murphy,158000,D001,CAN,UNKNOWN,MSIS,1972-10-02,2017-03-05
E0023,Ethan Rao,135500,D001,USA,MALE,MS,1993-07-16,2024-11-02
E0024,Hao Byrne,139500,D004,USA,UNKNOWN,MS,1985-08-06,2006-09-18
E0025,Charles Morris,209500,D001,IND,UNKNOWN,MBA,1983-06-15,2014-08-01
E0026,Neha Zhu,137500,D002,IND,FEMALE,MS,1965-09-26,2022-06-30
E0027,Diana Cruz,80500,D001,DEU,FEMALE,BS,1989-01-16,2004-10-15
E0028,Ahmed Bailey,116000,D004,USA,MALE,BA,1985-02-13,2000-02-09
E0029,Anil He,81500,D003,IND,MALE,BA,1996-06-06,2021-07-24
E0030,Roy Cruz,92500,D001,IND,UNKNOWN,BA,1971-03-06,2024-11-06
E0031,Steven Rao,83000,D004,USA,MALE,BS,1969-04-29,2009-07-13
E0032,Mason Nguyen,71500,D003,JPN,MALE,BA,1980-09-26,2013-10-10
E0033,Dylan Sanders,90500,D005,USA,MALE,BS,1969-09-18,2002-06-27
E0034,Camila Anderson,103000,D005,GBR,UNKNOWN,BS,1979-11-11,2010-03-19
E0035,Kimberly Guo,113000,D004,FRA,UNKNOWN,BS,1977-09-12,2015-10-04
E0036,Saki Alexander,146000,D004,USA,FEMALE,MS,1998-12-06,2023-12-19
E0037,Russell Kim,82000,D003,IND,UNKNOWN,BA,1984-05-16,2017-07-03
E0038,Joyce Chopra,97000,D003,BRA,FEMALE,MS,1986-01-14,2004-01-28
E0039,Vijay Ramos,131000,D004,JPN,MALE,MS,1985-08-30,2000-05-03
E0040,Stephen White,88500,D005,CHN,MALE,MS,1981-02-26,2022-03-22
E0041,Fatima Patel,74500,D003,DEU,FEMALE,BA,1965-01-15,2019-05-02
E0042,Anjali Rodrigues,96000,D003,GBR,UNKNOWN,MS,1995-02-01,2003-06-04
E0043,Austin Ali,124000,D001,USA,UNKNOWN,BS,1969-01-07,2024-05-22
E0044,Ling Cooper,99000,D004,USA,FEMALE,BS,1998-11-23,2019-05-10
E0045,Alexandra Coleman,102000,D003,CAN,FEMALE,MS,1992-09-13,2000-04-22
E0046,Dieter Kimura,134500,D005,JPN,MALE,MS,1985-05-09,2003-09-02
E0047,Anjali Cox,59000,D005,BRA,FEMALE,BS,1972-02-17,2007-07-29
E0048,Sakura Bernard,86500,D001,JPN,FEMALE,BA,1960-10-07,2004-07-21
E0049,Dylan Schneider,93500,D002,USA,MALE,MS,1974-02-28,2021-10-10
E0050,Francois Abdullah,110500,D005,BRA,MALE,MS,1983-10-08,2012-10-20
E0051,Ava Sasaki,83000,D005,CHN,FEMALE,BS,1985-02-20,2017-02-26
E0052,Claudia Shah,104500,D004,IND,FEMALE,MS,1993-11-29,2021-08-04
E0053,Nicole Luo,57500,D001,BRA,FEMALE,BA,1986-12-10,2010-03-18
E0054,Elise Bailey,109500,D004,DEU,FEMALE,MS,1960-05-29,2013-02-15
E0055,Melissa Gray,103000,D001,CAN,FEMALE,BS,1972-08-30,2018-04-03
E0056,Virginia Nguyen,153500,D004,USA,FEMALE,MS,1991-05-27,2019-07-23
E0057,Bruno Rivera,127000,D003,USA,UNKNOWN,MS,1991-12-20,2013-04-03
E0058,Bruce Cox,65500,D003,CHN,MALE,BA,1974-11-11,2011-02-08
