emp_id,emp_name,dept_id,country,gender,salary,degree,performance,hire_date
1,Dana Young,HARDWARE,CANADA,FEMALE,198000,MSIS,1,2023-06-09
2,Morgan Nelson,SOFTWARE,INDIA,FEMALE,119000,BS,5,2022-09-07
3,Li Suzuki,HARDWARE,USA,FEMALE,178000,MSIS,2,2022-08-16
4,Dakota Smith,HARDWARE,CANADA,MALE,174000,MSIS,3,2023-08-20
5,Finley Martinez,SALES,CANADA,FEMALE,128000,BS,2,2024-12-08
6,Jamie Williams,SOFTWARE,USA,MALE,185000,MS,7,2024-02-04
7,Cameron Garcia,SALES,CANADA,FEMALE,217000,PHD,2,2023-11-12
8,Felix Chen,HARDWARE,USA,FEMALE,192000,MSIS,3,2024-08-09
9,Kendall Nguyen,SOFTWARE,USA,MALE,190000,PHD,8,2022-03-17
10,Zhang Kumar,SOFTWARE,USA,MALE,269000,PHD,6,2023-09-28
11,Robin Miller,AI,USA,FEMALE,152000,BS,4,2023-08-09
12,Yuki Schmidt,HARDWARE,USA,FEMALE,156000,BS,7,2024-03-30
13,Chen Campbell,SOFTWARE,USA,FEMALE,162000,MS,8,2024-01-23
14,Wang Roberts,SOFTWARE,USA,MALE,139000,MSIS,10,2023-01-05
15,Harley Gupta,SOFTWARE,GERMANY,FEMALE,122000,BS,5,2023-09-20
16,Vikram Müller,SOFTWARE,USA,MALE,158000,MSIS,1,2023-12-24
17,Ingrid Patel,HARDWARE,USA,FEMALE,190000,MSIS,1,2022-06-03
18,Quinn Schmidt,SALES,USA,FEMALE,209000,MS,3,2022-03-05
19,Sage Jones,SOFTWARE,USA,MALE,115000,BS,6,2024-01-12
20,Hana Wilson,MARKETING,GERMANY,MALE,201000,MSIS,6,2024-06-28
21,Avery Brown,SOFTWARE,USA,MALE,179000,MS,5,2023-05-27
22,Jamie Rivera,HARDWARE,CANADA,MALE,179000,MS,9,2022-08-30
23,Avery Thompson,SOFTWARE,GERMANY,FEMALE,142000,BS,8,2023-02-14
24,Lena Turner,SOFTWARE,USA,MALE,221000,MS,8,2022-06-29
25,Blake Wright,SOFTWARE,USA,FEMALE,173000,MSIS,5,2023-09-07
26,Reese Wang,SOFTWARE,CANADA,FEMALE,156000,MS,4,2022-10-12
27,Vikram Taylor,SOFTWARE,USA,MALE,194000,MS,8,2022-09-23
28,Rowan Singh,SOFTWARE,USA,MALE,230000,MS,8,2024-12-12
29,Shawn Yamamoto,SOFTWARE,GERMANY,MALE,121000,BS,2,2024-07-10
30,Lucas Martin,HARDWARE,USA,FEMALE,158000,BS,9,2023-01-08
31,Quinn Gomez,SOFTWARE,CANADA,FEMALE,219000,MS,2,2024-11-27
32,Chen Carter,HARDWARE,CHINA,MALE,165000,BS,4,2023-12-10
33,Cameron Gomez,HARDWARE,USA,MALE,144000,BS,9,2023-07-17
34,Blake Cruz,SOFTWARE,INDIA,MALE,160000,MS,10,2022-11-12
35,Klaus Hill,HARDWARE,GERMANY,MALE,187000,PHD,1,2023-06-27
36,Klaus Gomez,SOFTWARE,USA,FEMALE,135000,MSIS,9,2023-08-17
37,Shawn Wilson,SOFTWARE,CANADA,FEMALE,156000,BS,7,2023-09-02
38,Chris Moore,SOFTWARE,USA,MALE,128000,BS,8,2023-02-22
39,Cameron Sanchez,SALES,USA,FEMALE,215000,PHD,6,2024-03-27
40,Reese Moore,SOFTWARE,USA,MALE,185000,MS,5,2024-07-09
41,Reese Allen,SALES,USA,MALE,137000,BA,10,2024-05-06
