emp_id,emp_name,dept_id,country,gender,salary,degree,performance,hire_date
1,Allison Hill,HARDWARE,CANADA,MALE,100000,BS,1,2024-06-08
2,Noah Rhodes,SOFTWARE,INDIA,MALE,144000,BS,3,2024-08-13
3,Angie Henderson,HARDWARE,USA,MALE,96000,BS,2,2025-05-09
4,Daniel Wagner,HARDWARE,CANADA,MALE,178000,MS,10,2023-08-16
5,Cristian Santos,SALES,CANADA,MALE,211000,MSIS,8,2025-11-21
6,Connie Lawrence,SOFTWARE,USA,FEMALE,157000,MS,3,2023-01-04
7,Abigail Shaffer,SALES,CANADA,FEMALE,193000,MS,4,2024-01-19
8,Gina Moore,HARDWARE,USA,FEMALE,187000,MS,2,2023-05-19
9,Gabrielle Davis,SOFTWARE,USA,MALE,264000,PHD,9,2025-03-10
10,Ryan Munoz,SOFTWARE,USA,FEMALE,216000,MSIS,1,2025-02-03
11,Monica Herrera,AI,USA,MALE,135000,BS,1,2024-12-07
12,Jamie Arnold,HARDWARE,USA,MALE,132000,BS,2,2023-04-01
13,Lisa Hensley,SOFTWARE,USA,FEMALE,112000,BS,6,2025-09-07
14,Michele Williams,SOFTWARE,USA,FEMALE,128000,MS,3,2023-03-17
15,Dylan Miller,SOFTWARE,GERMANY,MALE,115000,BS,1,2024-10-08
16,Brian Ramirez,SOFTWARE,USA,FEMALE,250000,PHD,9,2024-06-02
17,Holly Wood,HARDWARE,USA,FEMALE,98000,BA,4,2023-04-08
18,Derek Zuniga,SALES,USA,MALE,169000,MSIS,6,2025-01-23
19,Lisa Jackson,SOFTWARE,USA,FEMALE,146000,BS,7,2024-11-25
20,Carla Gray,MARKETING,GERMANY,FEMALE,263000,PHD,8,2025-11-29
21,Margaret Hawkins DDS,SOFTWARE,USA,MALE,144000,BS,2,2025-05-31
22,Patty Perez,HARDWARE,CANADA,FEMALE,189000,MS,3,2024-10-19
23,Ethan Adams,SOFTWARE,GERMANY,FEMALE,122000,BA,6,2024-09-19
24,Tommy Walter,SOFTWARE,USA,FEMALE,111000,BS,7,2024-12-20
25,Matthew Foster,SOFTWARE,USA,FEMALE,145000,BS,6,2023-04-28
26,Judy Baker,SOFTWARE,CANADA,MALE,103000,BA,7,2023-03-05
27,Justin Baker,SOFTWARE,USA,FEMALE,123000,BA,10,2023-03-13
28,Stephanie Ross,SOFTWARE,USA,FEMALE,129000,BA,4,2025-01-11
29,Zachary Hicks,SOFTWARE,GERMANY,MALE,94000,BS,10,2025-07-10
30,Anthony Rodriguez,HARDWARE,USA,MALE,256000,PHD,6,2023-10-09
31,Rebecca Henderson,SOFTWARE,CANADA,FEMALE,160000,MS,7,2024-05-26
32,James Ferrell,HARDWARE,CHINA,FEMALE,223000,PHD,1,2025-11-26
33,Tricia Valencia,HARDWARE,USA,FEMALE,105000,BS,9,2024-06-17
34,Nathan Maldonado,SOFTWARE,INDIA,FEMALE,198000,MS,4,2025-10-02
35,Debra Davidson,HARDWARE,GERMANY,FEMALE,99000,BS,3,2023-12-20
36,Jeffrey Chavez,SOFTWARE,USA,FEMALE,146000,MSIS,8,2024-12-12
37,Sherri Baker,SOFTWARE,CANADA,FEMALE,189000,MS,9,2024-09-06
38,Cassandra Gaines,SOFTWARE,USA,MALE,181000,MSIS,3,2023-09-06
39,Elizabeth Fowler,SALES,USA,FEMALE,230000,PHD,3,2023-02-23
40,Brittany Farmer,SOFTWARE,USA,FEMALE,137000,BS,10,2023-09-23
41,Paula Moreno,SALES,USA,FEMALE,128000,MS,2,2025-03-26
42,Fred Smith,AI,USA,FEMALE,267000,PHD,8,2025-04-18
43,Sherry Decker,HARDWARE,USA,FEMALE,151000,MSIS,2,2023-06-01
44,Anthony Humphrey,AI,INDIA,MALE,134000,BS,9,2024-01-08
45,Angelica Tucker,SOFTWARE,USA,MALE,190000,MSIS,3,2023-09-12
46,Philip Cannon,HARDWARE,GERMANY,MALE,141000,MS,5,2024-10-22
47,John Pierce,AI,GERMANY,FEMALE,244000,PHD,4,2023-06-11
48,Shane Henderson,AI,CANADA,MALE,125000,BS,9,2024-09-12
49,Joshua Blair,SOFTWARE,USA,MALE,184000,MS,2,2023-11-12
50,Eric Carney,BUSINESS,CANADA,FEMALE,126000,BA,10,2023-03-26
51,Jessica Holmes,SOFTWARE,USA,MALE,145000,MSIS,1,2024-06-26
52,Danny Morgan,HARDWARE,USA,MALE,173000,MS,10,2025-10-16
53,Crystal Robinson,SALES,USA,FEMALE,172000,MSIS,9,2025-09-16
54,Mark Perez,AI,GERMANY,FEMALE,128000,BS,7,2023-05-30
55,Shannon Jones,SOFTWARE,USA,FEMALE,176000,MS,3,2025-09-18
56,Michael Lewis,SOFTWARE,USA,FEMALE,108000,BS,6,2024-10-15
57,Timothy Duncan,SOFTWARE,CHINA,MALE,171000,MS,6,2025-01-28
58,Richard Aguirre,HARDWARE,USA,MALE,160000,MS,2,2025-08-13
59,Brent Jordan,AI,CANADA,MALE,95000,BA,8,2023-07-18
60,John Daniel,SOFTWARE,USA,FEMALE,119000,BA,7,2024-05-23
61,Victoria Garcia,SOFTWARE,USA,FEMALE,241000,PHD,3,2024-01-24
62,Gerald Hensley,AI,USA,FEMALE,200000,MSIS,8,2025-10-18
63,Connor West,SOFTWARE,GERMANY,MALE,137000,MSIS,8,2025-03-16
64,Donald Wright,SOFTWARE,USA,FEMALE,147000,MS,4,2023-04-10
65,Jessica Callahan,SOFTWARE,USA,FEMALE,118000,BA,8,2024-08-08
66,Amber Kidd,HARDWARE,USA,MALE,175000,MS,2,2024-06-25
67,Tracy House,MARKETING,USA,MALE,166000,MS,7,2025-03-31
68,Carol Tucker,SALES,USA,FEMALE,92000,BA,9,2024-08-14
69,James Brown,AI,USA,FEMALE,108000,BA,9,2023-09-01
70,William Baker,SALES,USA,FEMALE,105000,BA,2,2024-11-25
71,Jordan Henderson,SALES,USA,MALE,138000,MS,6,2025-11-08
72,Whitney Peters,AI,CANADA,MALE,95000,BS,1,2023-10-08
73,Brittney Phillips,SOFTWARE,INDIA,FEMALE,186000,MS,8,2023-11-02
74,Lauren Daniels,AI,USA,FEMALE,137000,MS,9,2024-10-14
75,Amy Silva,SOFTWARE,GERMANY,FEMALE,127000,BA,10,2024-11-19
76,Sarah Moore,HARDWARE,GERMANY,FEMALE,188000,MS,9,2024-09-05
77,Angela Lopez,SOFTWARE,GERMANY,FEMALE,137000,BS,1,2023-08-13
78,Megan Young,HARDWARE,USA,MALE,239000,PHD,10,2025-08-29
79,Steve Sanchez,SALES,USA,MALE,119000,BS,10,2025-09-10
80,Lisa Barnes,HARDWARE,CANADA,FEMALE,129000,BA,10,2023-10-30
81,Kelly Donovan,HARDWARE,USA,MALE,139000,MSIS,4,2024-01-26
82,Mike Allen,SOFTWARE,USA,MALE,106000,BA,6,2025-04-25
83,Michael Evans,AI,USA,FEMALE,184000,MS,7,2023-05-08
84,Paul Jones,HARDWARE,USA,FEMALE,146000,MS,9,2025-09-06
85,Zachary Ferrell,AI,USA,FEMALE,142000,MS,6,2025-12-27
86,Daniel Baker,HARDWARE,CANADA,FEMALE,123000,BS,6,2024-01-29
